x,y,time
679609.6865,5134638.071,943
679612.0599,5134637.293,944
679606.1265,5134639.239,945
679603.8156,5134637.898,946
679610.9482,5134635.139,947
679610.3111,5134636.817,948
679615.5075,5134639.94,949
679609.7365,5134636.376,950
679614.6458,5134629.309,951
679607.4131,5134635.459,952
679615.6825,5134634.006,953
678922.6123,5134503.736,954
678922.7866,5134497.802,955
678924.2088,5134229.317,956
678923.8333,5134222.094,957
677423.141,5133491.409,958
676805.9107,5134002.876,959
678282.682,5136912.317,960
679152.0838,5134733.194,961
678545.0672,5134193.164,962
679148.746,5133907.573,963
679139.6533,5133937.001,964
680328.9408,5134835.798,965
679467.6968,5134591.04,966
678979.193,5134297.958,967
679013.4705,5136170.177,968
679239.3254,5137796.484,969
678540.7111,5137367.003,970
678751.2999,5136475.969,971
677738.0297,5135509.219,972
678920.2525,5134143.933,973
677967.4179,5133951.854,974
678943.3243,5137357.193,975
679173.4568,5134745.7,976
678608.3845,5137262.511,977
679446.7378,5134763.927,978
679597.1365,5136039.74,979
679659.4886,5134682.81,980
679658.4394,5134678.537,981
679658.4269,5134678.961,982
679655.1914,5134689.046,983
679652.5805,5134697.878,984
679658.0268,5134692.524,985
679649.7576,5134693.977,986
679653.2176,5134696.2,987
679653.5802,5134683.908,988
679659.2885,5134689.592,989
679654.1172,5134685.621,990
679657.5523,5134688.692,991
679663.5607,5134684.203,992
